rating,release_date,director,movie_title,domestic_total_gross,runtime
PG-13,1997-12-19 00:00:00,James Cameron,Titanic,600788188,194
PG-13,1997-07-02 00:00:00,Barry Sonnenfeld,Men in Black,250690539,97
PG-13,1997-05-23 00:00:00,Steven Spielberg,The Lost World: Jurassic Park,229086679,129
PG-13,1997-03-21 00:00:00,Tom Shadyac,Liar Liar,181410615,86
R,1997-07-25 00:00:00,Wolfgang Petersen,Air Force One,172956409,124
PG-13,1997-12-23 00:00:00,James L. Brooks,As Good as It Gets,148478011,139
R,1997-12-05 00:00:00,Gus Van Sant,Good Will Hunting,138433435,126
PG,1997-01-31 00:00:00,,Star Wars,138257865,125
PG-13,1997-06-20 00:00:00,P.J. Hogan,My Best Friend's Wedding,127120029,105
PG-13,1997-12-19 00:00:00,,Tomorrow Never Dies,125304276,119
R,1997-06-27 00:00:00,John Woo,Face/Off,112276146,138
PG-13,1997-06-20 00:00:00,Joel Schumacher,Batman and Robin,107325195,125
PG,1997-07-18 00:00:00,,George of the Jungle,105263257,92
R,1997-12-12 00:00:00,Wes Craven,Scream 2,101363301,120
R,1997-06-06 00:00:00,Simon West,Con Air,101117573,115
PG,1997-07-11 00:00:00,Robert Zemeckis,Contact,100920329,150
G,1997-06-15 00:00:00,,Hercules,99112101,92
PG,1997-11-26 00:00:00,,Flubber,92977226,93
R,1997-08-08 00:00:00,Richard Donner,Conspiracy Theory,75982834,129
R,1997-10-17 00:00:00,,I Know What You Did Last Summer,72586134,101
PG,1997-02-21 00:00:00,,The Empire Strikes Back,67597694,129
PG-13,1997-02-07 00:00:00,Roger Donaldson,Dante's Peak,67127760,109
PG-13,1997-04-11 00:00:00,,Anaconda,65885767,89
R,1997-09-19 00:00:00,Curtis Hanson,L.A. Confidential,64616940,138
PG-13,1997-09-19 00:00:00,Frank Oz,In & Out,63856929,92
PG-13,1997-05-09 00:00:00,Luc Besson,The Fifth Element,63820180,126
PG,1997-12-19 00:00:00,Gore Verbinski,Mouse Hunt,61917389,97
PG-13,1997-04-04 00:00:00,Phillip Noyce,The Saint,61363304,118
R,1997-10-17 00:00:00,Taylor Hackford,The Devil's Advocate,60944660,144
R,1997-10-03 00:00:00,,Kiss the Girls,60527873,117
PG,1997-03-07 00:00:00,,Jungle 2 Jungle,59927618,105
G,1997-11-14 00:00:00,Don Bluth,Anastasia,58406347,94
R,1997-11-14 00:00:00,Michael Caton-Jones,The Jackal,54930280,125
PG-13,1997-08-01 00:00:00,-1,Spawn,54870175,93
R,1997-11-07 00:00:00,Paul Verhoeven,Starship Troopers,54814377,130
PG-13,1997-05-02 00:00:00,Jay Roach,Austin Powers: International Man of Mystery,53883989,100
R,1997-05-02 00:00:00,,Breakdown,50159144,93
R,1997-02-14 00:00:00,Clint Eastwood,Absolute Power,50068310,121
PG-13,1997-04-25 00:00:00,,Volcano,49323468,104
PG-13,1997-06-13 00:00:00,Jan DeBont,Speed 2: Cruise Control,48608066,121
R,1997-09-12 00:00:00,David Fincher,The Game,48323648,128
R,1997-08-22 00:00:00,Ridley Scott,G.I. Jane,48169156,125
R,1997-11-26 00:00:00,Jean-Pierre Jeunet,Alien Resurrection,47795658,109
R,1997-08-15 00:00:00,,The Full Monty,45950122,91
PG-13,1997-11-21 00:00:00,,The Rainmaker,45916769,110
PG,1997-03-14 00:00:00,,Return of the Jedi,45470437,135
PG-13,1997-10-17 00:00:00,,Bean,45319423,90
R,1997-08-15 00:00:00,James Mangold,Cop Land,44862187,105
R,1997-07-18 00:00:00,Steve Oedekerk,Nothing to Lose,44480039,97
R,1997-12-10 00:00:00,Steven Spielberg,Amistad,44229441,152
R,1997-09-26 00:00:00,"George Tillman, Jr.",Soul Food,43700855,114
R,1997-12-25 00:00:00,Barry Levinson,Wag the Dog,43061945,110
R,1997-03-28 00:00:00,Alan J. Pakula,The Devil's Own,42868348,111
R,1997-02-28 00:00:00,Mike Newell,Donnie Brasco,41909762,115
R,1997-09-26 00:00:00,,The Peacemaker,41263140,124
R,1997-03-07 00:00:00,Betty Thomas,Private Parts,41230799,108
R,1997-08-22 00:00:00,Brett Ratner,Money Talks,40922619,95
R,1997-12-25 00:00:00,Quentin Tarantino,Jackie Brown,39673162,151
PG-13,1997-10-10 00:00:00,Jean-Jacques Annaud,Seven Years in Tibet,37957682,131
PG,1997-02-14 00:00:00,Stephen Kessler,Vegas Vacation,36400360,95
PG-13,1997-11-21 00:00:00,John R. Leonetti,Mortal Kombat: Annihilation,35927406,91
PG,1997-03-21 00:00:00,Gregory Nava,Selena,35281794,128
R,1997-05-23 00:00:00,Griffin Dunne,Addicted to Love,34673095,99
R,1997-01-10 00:00:00,Peter Hyams,The Relic,33956608,109
R,1997-01-17 00:00:00,Thomas Carter,Metro,32000301,117
PG-13,1997-12-12 00:00:00,,For Richer or Poorer,31642995,116
PG-13,1997-01-17 00:00:00,Dennis Dugan,Beverly Hills Ninja,31480418,89
PG-13,1997-08-01 00:00:00,,Picture Perfect,31407873,105
PG,1997-12-12 00:00:00,Raja Gosnell,Home Alone 3,30882515,102
PG-13,1997-02-14 00:00:00,Andy Tennant,Fools Rush In,29481428,109
R,1997-04-25 00:00:00,David Mirkin,Romy & Michelle's High School Reunion,29235353,92
PG-13,1997-07-04 00:00:00,Martha Coolidge,Out to Sea,29022252,109
PG-13,1997-05-09 00:00:00,Ivan Reitman,Father's Day,28598376,99
R,1997-04-11 00:00:00,George Armitage,Grosse Pointe Blank,28084357,107
R,1997-09-26 00:00:00,Lee Tamahori,The Edge,27873386,117
G,1997-11-14 00:00:00,,The Little Mermaid,27187616,83
R,1997-08-15 00:00:00,Paul W.S. Anderson,Event Horizon,26673242,95
R,1997-12-25 00:00:00,,An American Werewolf in Paris,26570463,98
R,1997-10-10 00:00:00,Paul Thomas Anderson,Boogie Nights,26400640,152
R,1997-04-18 00:00:00,Dwight H. Little,Murder at 1600,25804707,108
R,1997-08-22 00:00:00,Guillermo del Toro,Mimic,25480490,105
R,1997-11-21 00:00:00,Clint Eastwood,Midnight in the Garden of Good & Evil,25105255,155
PG,1997-07-25 00:00:00,Brian Robbins,Good Burger,23712993,95
R,1997-08-29 00:00:00,Bill Duke,Hoodlum,23499102,130
PG,1997-08-01 00:00:00,,Air Bud,23144499,98
R,1997-10-31 00:00:00,,Red Corner,22459274,122
PG,1997-12-25 00:00:00,,Mr. Magoo,21437192,88
R,1997-02-28 00:00:00,Jeff Pollack,Booty Call,20050376,79
PG-13,1997-12-19 00:00:00,Robert Duvall,The Apostle,19868354,133
PG,1997-05-30 00:00:00,Christopher Cain,Gone Fishin',19745922,95
G,1997-07-11 00:00:00,,Thrill Ride,18798590,38
PG,1997-02-14 00:00:00,Bob Spiers,That Darn Cat,18301610,89
R,1997-12-25 00:00:00,Kevin Costner,The Postman,17626234,177
PG-13,1997-04-04 00:00:00,Carl Reiner,That Old Feeling,16574176,206
R,1997-09-05 00:00:00,,Fire Down Below,16228448,105
R,1997-09-19 00:00:00,,Wishmaster,15738769,90
PG,1997-10-10 00:00:00,,Rocket Man,15448043,94
PG-13,1997-01-10 00:00:00,Stanley Tong,Jackie Chan's First Strike,15318863,85
R,1997-11-07 00:00:00,,Eve's Bayou,14842388,109
PG-13,1997-03-28 00:00:00,Randall Miller,The 6th Man,14772788,109
