Title,Runtime,ReleaseDate,Rating,DomesticTotalGross,Director,Budget
Transformers: Dark of the Moon,154,2011-06-29 00:00:00,PG-13,352390543,Michael Bay,195000000
The Twilight Saga: Breaking Dawn Part 1,108,2011-11-18 00:00:00,PG-13,281287133,Bill Condon,110000000
The Hangover Part II,102,2011-05-26 00:00:00,R,254464305,Todd Phillips,80000000
Pirates of the Caribbean: On Stranger Tides,137,2011-05-20 00:00:00,PG-13,241071802,Rob Marshall,250000000
Fast Five,130,2011-04-29 00:00:00,PG-13,209837675,Justin Lin,125000000
Mission: Impossible - Ghost Protocol,132,2011-12-16 00:00:00,PG-13,209397903,Brad Bird,145000000
Cars 2,113,2011-06-24 00:00:00,G,191452396,John LasseterBrad Lewis (co-director),200000000
Sherlock Holmes: A Game of Shadows,128,2011-12-16 00:00:00,PG-13,186848418,Guy Ritchie,
Thor,115,2011-05-06 00:00:00,PG-13,181030624,Kenneth Branagh,150000000
Rise of the Planet of the Apes,110,2011-08-05 00:00:00,PG-13,176760185,Rupert Wyatt,93000000
Captain America: The First Avenger,125,2011-07-22 00:00:00,PG-13,176654505,Joe Johnston,140000000
The Help,137,2011-08-10 00:00:00,PG-13,169708112,Tate Taylor,25000000
Bridesmaids,125,2011-05-13 00:00:00,R,169106725,Paul Feig,32500000
Kung Fu Panda 2,91,2011-05-26 00:00:00,PG,165249063,Jennifer Yuh Nelson,150000000
Puss in Boots,90,2011-10-28 00:00:00,PG,149260504,Chris Miller,130000000
X-Men: First Class,131,2011-06-03 00:00:00,PG-13,146408305,Matthew Vaughn,160000000
Rio,96,2011-04-15 00:00:00,G,143619809,Carlos Saldanha,90000000
The Smurfs,86,2011-07-29 00:00:00,PG,142614158,Raja Gosnell,110000000
Alvin and the Chipmunks: Chipwrecked,87,2011-12-16 00:00:00,G,133110742,Mike Mitchell,75000000
Super 8,112,2011-06-10 00:00:00,PG-13,127004179,J.J. Abrams,50000000
Rango,107,2011-03-04 00:00:00,PG,123477607,Gore Verbinski,135000000
Horrible Bosses,100,2011-07-08 00:00:00,R,117538559,Seth Gordon,35000000
Green Lantern,105,2011-06-17 00:00:00,PG-13,116601172,Martin Campbell,200000000
Hop,90,2011-04-01 00:00:00,PG,108085305,Tim Hill,63000000
Paranormal Activity 3,81,2011-10-21 00:00:00,R,104028807,Henry JoostAriel Schulman,5000000
Just Go With It,110,2011-02-11 00:00:00,PG-13,103028109,Dennis Dugan,80000000
The Girl with the Dragon Tattoo,160,2011-12-21 00:00:00,R,102515793,David Fincher,90000000
Bad Teacher,89,2011-06-24 00:00:00,R,100292856,Jake Kasdan,20000000
Cowboys & Aliens,118,2011-07-29 00:00:00,PG-13,100240551,Jon Favreau,163000000
Gnomeo and Juliet,84,2011-02-11 00:00:00,G,99967670,Kelly Asbury,
The Green Hornet,108,2011-01-14 00:00:00,PG-13,98780042,Michel Gondry,120000000
The Lion King,89,2011-09-16 00:00:00,G,94242001,,
The Muppets,120,2011-11-23 00:00:00,PG,88631237,James Bobin,45000000
Real Steel,127,2011-10-07 00:00:00,PG-13,85468508,Shawn Levy,
"Crazy, Stupid, Love.",107,2011-07-29 00:00:00,PG-13,84351197,Glenn FicarraJohn Requa,50000000
Battle: Los Angeles,116,2011-03-11 00:00:00,PG-13,83552429,Jonathan Liebesman,70000000
Immortals,110,2011-11-11 00:00:00,R,83504017,Tarsem,75000000
The Descendants,115,2011-11-16 00:00:00,R,82584160,Alexander Payne,
Zookeeper,104,2011-07-08 00:00:00,PG,80360843,Frank Coraci,80000000
War Horse,146,2011-12-25 00:00:00,PG-13,79884879,Steven Spielberg,66000000
Limitless,105,2011-03-18 00:00:00,PG-13,79249455,Neil Burger,27000000
Tower Heist,104,2011-11-04 00:00:00,PG-13,78046570,Brett Ratner,75000000
The Adventures of Tintin,101,2011-12-21 00:00:00,PG,77591831,Steven Spielberg,
Contagion,105,2011-09-09 00:00:00,PG-13,75658097,Steven Soderbergh,60000000
We Bought a Zoo,124,2011-12-23 00:00:00,PG,75624550,Cameron Crowe,
Moneyball,126,2011-09-23 00:00:00,PG-13,75605492,Bennett Miller,50000000
Jack and Jill,91,2011-11-11 00:00:00,PG,74158157,Dennis Dugan,79000000
Hugo,127,2011-11-23 00:00:00,PG,73864507,Martin Scorsese,
Justin Bieber: Never Say Never,105,2011-02-11 00:00:00,G,73013910,Jon Chu,13000000
Dolphin Tale,112,2011-09-23 00:00:00,PG,72286779,Charles Martin Smith,37000000
No Strings Attached,110,2011-01-21 00:00:00,R,70662220,Ivan Reitman,25000000
Mr. Popper's Penguins,95,2011-06-17 00:00:00,PG,68224452,Mark S. Waters,55000000
Happy Feet Two,105,2011-11-18 00:00:00,PG,64006466,George Miller,
Unknown,109,2011-02-18 00:00:00,PG-13,63686397,Jaume Collet-Serra,30000000
The Adjustment Bureau,99,2011-03-04 00:00:00,PG-13,62495645,George Nolfi,50200000
Water for Elephants,120,2011-04-22 00:00:00,PG-13,58709717,Francis Lawrence,38000000
The Lincoln Lawyer,119,2011-03-18 00:00:00,R,58009200,Brad Furman,40000000
Midnight in Paris,88,2011-05-20 00:00:00,PG-13,56817045,Woody Allen,17000000
Friends with Benefits,120,2011-07-22 00:00:00,R,55802754,Will Gluck,35000000
I Am Number Four,104,2011-02-18 00:00:00,PG-13,55100437,D.J. Caruso,60000000
Source Code,94,2011-04-01 00:00:00,PG-13,54712227,Duncan Jones,32000000
New Year's Eve,117,2011-12-09 00:00:00,PG-13,54544638,Garry Marshall,56000000
Insidious,98,2011-04-01 00:00:00,PG-13,54009150,James Wan,1500000
Tyler Perry's Madea's Big Happy Family,105,2011-04-22 00:00:00,PG-13,53345287,Tyler Perry,
Diary of a Wimpy Kid: Rodrick Rules,96,2011-03-25 00:00:00,PG,52698535,David Bowers,21000000
Footloose,113,2011-10-14 00:00:00,PG-13,51802742,Craig Brewer,24000000
The Dilemma,118,2011-01-14 00:00:00,PG-13,48475290,Ron Howard,70000000
Arthur Christmas,97,2011-11-23 00:00:00,PG,46462469,Sarah Smith,
Hall Pass,98,2011-02-25 00:00:00,R,45060734,The Farrelly Bros.,36000000
The Artist,100,2011-11-25 00:00:00,PG-13,44671682,Michel Hazanavicius,15000000
Soul Surfer,105,2011-04-08 00:00:00,PG,43853424,Sean McNamara,18000000
Final Destination 5,95,2011-08-12 00:00:00,R,42587643,Steven Quale,40000000
The Ides of March,102,2011-10-07 00:00:00,R,40962534,George Clooney,
Hanna,111,2011-04-08 00:00:00,PG-13,40259119,Joe Wright,30000000
Something Borrowed,103,2011-05-06 00:00:00,PG-13,39046489,Luke Greenfield,35000000
Spy Kids: All the Time in the World,88,2011-08-19 00:00:00,PG,38538188,Robert Rodriguez,27000000
Scream 4,103,2011-04-15 00:00:00,R,38180928,Wes Craven,40000000
"Big Mommas: Like Father, Like Son",107,2011-02-18 00:00:00,PG-13,37915414,John Whitesell,32000000
Red Riding Hood,100,2011-03-11 00:00:00,PG-13,37662162,Catherine Hardwicke,42000000
In Time,109,2011-10-28 00:00:00,PG-13,37520095,Andrew Niccol,40000000
Paul,100,2011-03-18 00:00:00,R,37412945,Greg Mottola,40000000
J. Edgar,137,2011-11-09 00:00:00,R,37306030,Clint Eastwood,35000000
The Roommate,93,2011-02-04 00:00:00,PG-13,37300107,Christian E. Christiansen,16000000
Jumping the Broom,113,2011-05-06 00:00:00,PG-13,37295394,Salim Akil,6600000
The Change-Up,101,2011-08-05 00:00:00,R,37081475,David Dobkin,52000000
30 Minutes or Less,83,2011-08-12 00:00:00,R,37053924,Ruben Fleischer,28000000
Colombiana,107,2011-08-26 00:00:00,PG-13,36665854,Olivier Megaton,40000000
Sucker Punch,120,2011-03-25 00:00:00,PG-13,36392502,Zack Snyder,82000000
Larry Crowne,99,2011-07-01 00:00:00,PG-13,35608245,Tom Hanks,30000000
A Very Harold & Kumar 3D Christmas,89,2011-11-04 00:00:00,R,35061031,Todd Strauss-Schulson,19000000
Drive,103,2011-09-16 00:00:00,R,35060689,Nicolas Winding Refn,15000000
50/50,99,2011-09-30 00:00:00,R,35014192,Jonathan Levine,8000000
Courageous,130,2011-09-30 00:00:00,PG-13,34522221,Alex Kendrick,2000000
The Rite,112,2011-01-28 00:00:00,PG-13,33047633,Mikael Hafstrom,37000000
Arthur,110,2011-04-08 00:00:00,PG-13,33035397,Jason Winer,40000000
Extremely Loud & Incredibly Close,129,2011-12-25 00:00:00,PG-13,31847881,Stephen Daldry,
The Debt,113,2011-08-31 00:00:00,R,31177548,John Madden,20000000
The Sitter,100,2011-12-09 00:00:00,R,30441326,David Gordon Green,25000000
The Iron Lady,105,2011-12-30 00:00:00,PG-13,30017992,,
Marvel's The Avengers,142,2012-05-04 00:00:00,PG-13,623357910,Joss Whedon,220000000
The Dark Knight Rises,165,2012-07-20 00:00:00,PG-13,448139099,Christopher Nolan,250000000
The Hunger Games,142,2012-03-23 00:00:00,PG-13,408010692,Gary Ross,78000000
Skyfall,143,2012-11-09 00:00:00,PG-13,304360277,Sam Mendes,200000000
The Hobbit: An Unexpected Journey,166,2012-12-14 00:00:00,PG-13,303003568,Peter Jackson,
The Twilight Saga: Breaking Dawn Part 2,116,2012-11-16 00:00:00,PG-13,292324737,Bill Condon,120000000
The Amazing Spider-Man,136,2012-07-03 00:00:00,PG-13,262030663,Marc Webb,230000000
Brave,100,2012-06-22 00:00:00,PG,237283207,Mark AndrewsBrenda Chapman,185000000
Ted,106,2012-06-29 00:00:00,R,218815487,Seth MacFarlane,50000000
Madagascar 3: Europe's Most Wanted,93,2012-06-08 00:00:00,PG,216391482,Eric DarnellTom McGrathConrad Vernon,145000000
Dr. Seuss' The Lorax,95,2012-03-02 00:00:00,PG,214030500,Chris Renaud,70000000
Wreck-It Ralph,108,2012-11-02 00:00:00,PG,189422889,Rich Moore,165000000
Lincoln,145,2012-11-09 00:00:00,PG-13,182207973,Steven Spielberg,65000000
MIB 3,106,2012-05-25 00:00:00,PG-13,179020854,Barry Sonnenfeld,225000000
Django Unchained,165,2012-12-25 00:00:00,R,162805434,Quentin Tarantino,100000000
Ice Age: Continental Drift,94,2012-07-13 00:00:00,PG,161321843,,95000000
Snow White and the Huntsman,127,2012-06-01 00:00:00,PG-13,155332381,Rupert Sanders,170000000
Les Miserables,157,2012-12-25 00:00:00,PG-13,148809770,Tom Hooper,61000000
Hotel Transylvania,91,2012-09-28 00:00:00,PG,148313048,Genndy Tartakovsky,85000000
Taken 2,91,2012-10-05 00:00:00,PG-13,139854287,Olivier Megaton,45000000
21 Jump Street,109,2012-03-16 00:00:00,R,138447667,Phil LordChris Miller (II),42000000
Argo,120,2012-10-12 00:00:00,R,136025503,Ben Affleck,44500000
Silver Linings Playbook,122,2012-11-16 00:00:00,R,132092958,David O. Russell,21000000
Prometheus,124,2012-06-08 00:00:00,R,126477084,Ridley Scott,130000000
Safe House,117,2012-02-10 00:00:00,R,126373434,Daniel Espinosa,85000000
The Vow,104,2012-02-10 00:00:00,PG-13,125014030,Michael Sucsy,30000000
Life of Pi,126,2012-11-21 00:00:00,PG,124987023,Ang Lee,120000000
Magic Mike,110,2012-06-29 00:00:00,R,113721571,Steven Soderbergh,7000000
The Bourne Legacy,135,2012-08-10 00:00:00,PG-13,113203870,Tony Gilroy,125000000
Journey 2: The Mysterious Island,94,2012-02-10 00:00:00,PG,103860290,Brad Peyton,79000000
Rise of the Guardians,97,2012-11-21 00:00:00,PG,103412758,Peter Ramsey,145000000
Zero Dark Thirty,157,2012-12-19 00:00:00,R,95720716,Kathryn Bigelow,40000000
Flight,139,2012-11-02 00:00:00,R,93772375,Robert Zemeckis,31000000
Think Like a Man,122,2012-04-20 00:00:00,PG-13,91547205,Tim Story,12000000
The Campaign,97,2012-08-10 00:00:00,R,86907746,Jay Roach,
The Expendables 2,102,2012-08-17 00:00:00,R,85028192,Simon West,100000000
Wrath of the Titans,99,2012-03-30 00:00:00,PG-13,83670083,Jonathan Liebesman,150000000
Jack Reacher,130,2012-12-21 00:00:00,PG-13,80070736,Christopher McQuarrie,60000000
Dark Shadows,113,2012-05-11 00:00:00,PG-13,79727149,Tim Burton,150000000
Parental Guidance,104,2012-12-25 00:00:00,PG,77267296,Andy Fickman,25000000
John Carter,132,2012-03-09 00:00:00,PG-13,73078100,Andrew Stanton,250000000
Act of Valor,111,2012-02-24 00:00:00,R,70012847,Mike McCoyScott Waugh,12000000
This Is 40,133,2012-12-21 00:00:00,R,67544505,Judd Apatow,35000000
Contraband,110,2012-01-13 00:00:00,R,66528000,Baltasar Kormakur,25000000
Looper,118,2012-09-28 00:00:00,R,66486205,Rian Johnson,30000000
Tyler Perry's Madea's Witness Protection,114,2012-06-29 00:00:00,PG-13,65653242,Tyler Perry,20000000
Battleship,131,2012-05-18 00:00:00,PG-13,65422625,Peter Berg,209000000
Pitch Perfect,112,2012-09-28 00:00:00,PG-13,65001093,Jason Moore,17000000
Mirror Mirror,106,2012-03-30 00:00:00,PG,64935167,Tarsem,85000000
Chronicle,83,2012-02-03 00:00:00,PG-13,64575175,Josh Trank,12000000
Hope Springs,121,2012-08-08 00:00:00,PG-13,63536011,David Frankel,
Underworld Awakening,88,2012-01-20 00:00:00,R,62321039,Mars MarlindBjorn Stein,70000000
The Lucky One,101,2012-04-20 00:00:00,PG-13,60457138,Scott Hicks,
The Dictator,83,2012-05-16 00:00:00,R,59650222,Larry Charles,65000000
Total Recall,121,2012-08-03 00:00:00,PG-13,58877969,Len Wiseman,125000000
Titanic 3D,194,2012-04-04 00:00:00,PG-13,57884114,,18000000
American Reunion,113,2012-04-06 00:00:00,R,57011521,Jon HurwitzHayden Schlossberg,50000000
ParaNorman,93,2012-08-17 00:00:00,PG,56003051,Chris ButlerSam Fell,60000000
This Means War,97,2012-02-17 00:00:00,PG-13,54760791,McG,65000000
Project X,88,2012-03-02 00:00:00,R,54731865,Nima Nourizadeh,
The Woman in Black,95,2012-02-03 00:00:00,PG-13,54333290,James Watkins,
Paranormal Activity 4,95,2012-10-19 00:00:00,R,53900335,Henry JoostAriel Schulman,5000000
The Devil Inside,87,2012-01-06 00:00:00,R,53261944,William Brent Bell,1000000
The Odd Life of Timothy Green,100,2012-08-15 00:00:00,PG,51854875,Peter Hedges,
Ghost Rider: Spirit of Vengeance,95,2012-02-17 00:00:00,PG-13,51774002,Mark NeveldineBrian Taylor,57000000
The Grey,117,2012-01-27 00:00:00,R,51580236,Joe Carnahan,25000000
Red Tails,120,2012-01-20 00:00:00,PG-13,49876377,Anthony Hemingway,58000000
The Possession,91,2012-08-31 00:00:00,PG-13,49130154,Ole Bornedal,14000000
Diary of a Wimpy Kid: Dog Days,94,2012-08-03 00:00:00,PG,49008662,David Bowers,22000000
Sinister,110,2012-10-12 00:00:00,R,48086903,Scott Derrickson,3000000
Beauty and the Beast,84,2012-01-13 00:00:00,G,47617067,,
Savages,130,2012-07-06 00:00:00,R,47382068,Oliver Stone,45000000
The Best Exotic Marigold Hotel,118,2012-05-04 00:00:00,PG-13,46412041,John Madden,10000000
Moonrise Kingdom,93,2012-05-25 00:00:00,PG-13,45512466,Wes Anderson,16000000
Here Comes the Boom,105,2012-10-12 00:00:00,PG,45290318,Frank Coraci,
Red Dawn,93,2012-11-21 00:00:00,PG-13,44806783,Dan Bradley,65000000
The Three Stooges,92,2012-04-13 00:00:00,PG,44338224,The Farrelly Bros.,30000000
Star Wars: Episode I - The Phantom Menace,133,2012-02-10 00:00:00,PG,43456382,,
Resident Evil: Retribution,95,2012-09-14 00:00:00,R,42345531,Paul W.S. Anderson,65000000
The Cabin in the Woods,95,2012-04-13 00:00:00,R,42073277,Drew Goddard,
What to Expect When You're Expecting,110,2012-05-18 00:00:00,PG-13,41152203,Kirk Jones,40000000
Finding Nemo,104,2012-09-14 00:00:00,G,41128283,,
End of Watch,109,2012-09-21 00:00:00,R,41003371,David Ayer,7000000
Rock of Ages,123,2012-06-15 00:00:00,PG-13,38518613,Adam Shankman,75000000
Abraham Lincoln: Vampire Hunter,105,2012-06-22 00:00:00,R,37519139,Timur Bekmambetov,69000000
Lawless,115,2012-08-29 00:00:00,R,37400127,John Hillcoat,
The Guilt Trip,95,2012-12-19 00:00:00,PG-13,37134215,Anne Fletcher,40000000
That's My Boy,114,2012-06-15 00:00:00,R,36931089,Sean Anders,70000000
Trouble with the Curve,111,2012-09-21 00:00:00,PG-13,35763137,Robert Lorenz,
The Watch,102,2012-07-27 00:00:00,R,35353000,Akiva Schaffer,68000000
Frankenweenie,87,2012-10-05 00:00:00,PG,35291068,Tim Burton,39000000
Step Up Revolution,100,2012-07-27 00:00:00,PG-13,35074677,Scott Speer,33000000
Tyler Perry's Good Deeds,129,2012-02-24 00:00:00,PG-13,35025791,Tyler Perry,
"Monsters, Inc.",90,2012-12-19 00:00:00,G,34043006,,
2016 Obama's America,89,2012-07-13 00:00:00,PG,33449086,Dinesh D'SouzaJohn Sullivan,
House at the End of The Street,101,2012-09-21 00:00:00,PG-13,31611916,Mark Tonderai,10000000
The Pirates! Band of Misfits,88,2012-04-27 00:00:00,PG,31051126,Peter Lord,55000000
Joyful Noise,118,2012-01-13 00:00:00,PG-13,30932113,Todd Graff,
Chimpanzee,78,2012-04-20 00:00:00,G,28972764,,
The Five-Year Engagement,124,2012-04-27 00:00:00,R,28835528,Nick Stoller,30000000
The Hunger Games: Catching Fire,146,2013-11-22 00:00:00,PG-13,424668047,Francis Lawrence,130000000
Iron Man 3,129,2013-05-03 00:00:00,PG-13,409013994,Shane Black,200000000
Frozen,108,2013-11-22 00:00:00,PG,400738009,Chris BuckJennifer Lee,150000000
Despicable Me 2,98,2013-07-03 00:00:00,PG,368061265,Pierre CoffinChris Renaud,76000000
Man of Steel,143,2013-06-14 00:00:00,PG-13,291045518,Zack Snyder,225000000
Gravity,91,2013-10-04 00:00:00,PG-13,274092705,Alfonso Cuaron,100000000
Monsters University,107,2013-06-21 00:00:00,G,268492764,Dan Scanlon,
The Hobbit: The Desolation of Smaug,161,2013-12-13 00:00:00,PG-13,258366855,Peter Jackson,
Fast & Furious 6,130,2013-05-24 00:00:00,PG-13,238679850,Justin Lin,160000000
Oz The Great and Powerful,127,2013-03-08 00:00:00,PG,234911825,Sam Raimi,215000000
Star Trek Into Darkness,123,2013-05-16 00:00:00,PG-13,228778661,J.J. Abrams,190000000
Thor: The Dark World,120,2013-11-08 00:00:00,PG-13,206362140,Alan Taylor,170000000
World War Z,116,2013-06-21 00:00:00,PG-13,202359711,Marc Forster,190000000
The Croods,98,2013-03-22 00:00:00,PG,187168425,Kirk De MiccoChris Sanders,135000000
The Heat,117,2013-06-28 00:00:00,R,159582188,Paul Feig,43000000
We're the Millers,110,2013-08-07 00:00:00,R,150394119,Rawson Marshall Thurber,37000000
American Hustle,138,2013-12-13 00:00:00,R,150117807,David O. Russell,40000000
The Great Gatsby,143,2013-05-10 00:00:00,PG-13,144840419,Baz Luhrmann,105000000
The Conjuring,112,2013-07-19 00:00:00,R,137400141,James Wan,20000000
Identity Thief,111,2013-02-08 00:00:00,R,134506920,Seth Gordon,35000000
Grown Ups 2,101,2013-07-12 00:00:00,PG-13,133668525,Dennis Dugan,80000000
The Wolverine,126,2013-07-26 00:00:00,PG-13,132556852,James Mangold,120000000
Anchorman 2: The Legend Continues,119,2013-12-18 00:00:00,PG-13,125168368,Adam McKay,50000000
Lone Survivor,121,2013-12-25 00:00:00,R,125095601,Peter Berg,40000000
G.I. Joe: Retaliation,99,2013-03-28 00:00:00,PG-13,122523060,Jon Chu,130000000
Cloudy with a Chance of Meatballs 2,95,2013-09-27 00:00:00,PG,119793567,,78000000
Now You See Me,116,2013-05-31 00:00:00,PG-13,117723989,Louis Leterrier,75000000
The Wolf of Wall Street,180,2013-12-25 00:00:00,R,116900694,Martin Scorsese,100000000
Lee Daniels' The Butler,132,2013-08-16 00:00:00,PG-13,116632095,Lee Daniels,30000000
The Hangover Part III,100,2013-05-23 00:00:00,R,112200072,Todd Phillips,103000000
Epic,102,2013-05-24 00:00:00,PG,107518682,Chris Wedge,100000000
Captain Phillips,134,2013-10-11 00:00:00,PG-13,107100855,Paul Greengrass,55000000
Jackass Presents: Bad Grandpa,93,2013-10-25 00:00:00,R,102003019,Jeff Tremaine,15000000
Pacific Rim,131,2013-07-12 00:00:00,PG-13,101802906,Guillermo del Toro,190000000
This is the End,107,2013-06-12 00:00:00,R,101470202,Evan GoldbergSeth Rogen,32000000
Olympus Has Fallen,120,2013-03-22 00:00:00,R,98925640,Antoine Fuqua,70000000
42,128,2013-04-12 00:00:00,PG-13,95020213,Brian Helgeland,40000000
Elysium,109,2013-08-09 00:00:00,R,93050117,Neill Blomkamp,115000000
Planes,92,2013-08-09 00:00:00,PG,90288712,Klay Hall,50000000
The Lone Ranger,149,2013-07-03 00:00:00,PG-13,89302115,Gore Verbinski,215000000
Oblivion,125,2013-04-19 00:00:00,PG-13,89107235,Joseph Kosinski,120000000
Insidious Chapter 2,105,2013-09-13 00:00:00,PG-13,83586447,James Wan,5000000
Saving Mr. Banks,120,2013-12-13 00:00:00,PG-13,83301580,John Lee Hancock,35000000
Turbo,96,2013-07-17 00:00:00,PG,83028128,David Soren,135000000
2 Guns,109,2013-08-02 00:00:00,R,75612460,Baltasar Kormakur,61000000
White House Down,137,2013-06-28 00:00:00,PG-13,73103784,Roland Emmerich,150000000
Mama,100,2013-01-18 00:00:00,PG-13,71628180,Andres Muschietti,15000000
Safe Haven,115,2013-02-14 00:00:00,PG-13,71349120,Lasse Hallstrom,28000000
The Smurfs 2,105,2013-07-31 00:00:00,PG,71017784,Raja Gosnell,105000000
The Best Man Holiday,122,2013-11-15 00:00:00,R,70525195,Malcolm D. Lee,17000000
Percy Jackson: Sea of Monsters,106,2013-08-07 00:00:00,PG,68559554,Thor Freudenthal,90000000
A Good Day to Die Hard,97,2013-02-14 00:00:00,R,67349198,John Moore,92000000
Warm Bodies,97,2013-02-01 00:00:00,PG-13,66380662,Jonathan Levine,35000000
Jack the Giant Slayer,114,2013-03-01 00:00:00,PG-13,65187603,Bryan Singer,195000000
The Purge,85,2013-06-07 00:00:00,R,64473115,James DeMonaco,3000000
Last Vegas,90,2013-11-01 00:00:00,PG-13,63914167,Jon Turteltaub,28000000
Ender's Game,114,2013-11-01 00:00:00,PG-13,61737191,Gavin Hood,110000000
Prisoners,146,2013-09-20 00:00:00,R,61002302,Denis Villeneuve,46000000
After Earth,100,2013-05-31 00:00:00,PG-13,60522097,M. Night Shyamalan,130000000
The Secret Life of Walter Mitty,114,2013-12-25 00:00:00,PG,58236838,Ben Stiller,90000000
Escape From Planet Earth,89,2013-02-15 00:00:00,PG,57012977,Cal Brunker,40000000
12 Years a Slave,133,2013-10-18 00:00:00,R,56671993,Steve McQueen (II),20000000
Free Birds,90,2013-11-01 00:00:00,PG,55750480,Jimmy Hayward,55000000
Hansel and Gretel: Witch Hunters,88,2013-01-25 00:00:00,R,55703475,Tommy Wirkola,50000000
Evil Dead,91,2013-04-05 00:00:00,R,54239856,Fede Alvarez,17000000
Red 2,116,2013-07-19 00:00:00,PG-13,53262560,Dean Parisot,84000000
Tyler Perry's A Madea Christmas,105,2013-12-13 00:00:00,PG-13,52543354,Tyler Perry,
Tyler Perry's Temptation: Confessions of a Marriage Counselor,111,2013-03-29 00:00:00,PG-13,51975354,Tyler Perry,
The Call,95,2013-03-15 00:00:00,R,51872378,Brad Anderson,13000000
Pain and Gain,129,2013-04-26 00:00:00,R,49875291,Michael Bay,26000000
Gangster Squad,113,2013-01-11 00:00:00,R,46000903,Ruben Fleischer,60000000
Jurassic Park 3D,127,2013-04-05 00:00:00,PG-13,45385935,,10000000
The Internship,119,2013-06-07 00:00:00,PG-13,44672764,Shawn Levy,58000000
Instructions Not Included,115,2013-08-30 00:00:00,PG-13,44467206,,
Snitch,112,2013-02-22 00:00:00,PG-13,42930462,Ric Roman Waugh,
Riddick,119,2013-09-06 00:00:00,R,42025135,David Twohy,38000000
A Haunted House,80,2013-01-11 00:00:00,R,40041683,Michael Tiddes,2500000
47 Ronin,127,2013-12-25 00:00:00,PG-13,38362475,Carl Rinsch,175000000
August: Osage County,130,2013-12-27 00:00:00,R,37738810,John Wells,
Philomena,95,2013-11-22 00:00:00,PG-13,37709979,Stephen Frears,12000000
The Family,112,2013-09-13 00:00:00,R,36918811,Luc Besson,30000000
Walking with Dinosaurs,87,2013-12-20 00:00:00,PG,36076121,Barry CookNeil Nightingale,80000000
Carrie,92,2013-10-18 00:00:00,R,35266619,Kimberly Peirce,30000000
Texas Chainsaw 3D,92,2013-01-04 00:00:00,R,34341945,John Luessenhop,
R.I.P.D.,96,2013-07-19 00:00:00,PG-13,33618855,Robert Schwentke,130000000
Blue Jasmine,98,2013-07-26 00:00:00,PG-13,33405481,Woody Allen,
Kevin Hart: Let Me Explain,75,2013-07-03 00:00:00,R,32244051,,
Side Effects,106,2013-02-08 00:00:00,R,32172757,Steven Soderbergh,
Scary Movie 5,85,2013-04-12 00:00:00,PG-13,32015787,Malcolm D. Lee,20000000
The Mortal Instruments: City of Bones,120,2013-08-21 00:00:00,PG-13,31165421,Harald Zwart,60000000
Delivery Man,105,2013-11-22 00:00:00,PG-13,30664106,Ken Scott,26000000
Grudge Match,113,2013-12-25 00:00:00,PG-13,29807260,Peter Segal,40000000
One Direction: This is Us,92,2013-08-30 00:00:00,PG,28873374,Morgan Spurlock,10000000
Kick-Ass 2,103,2013-08-16 00:00:00,R,28795985,Jeff Wadlow,28000000
Dallas Buyers Club,117,2013-11-01 00:00:00,R,27298285,Jean-Marc Vallee,5000000
Rush,123,2013-09-20 00:00:00,R,26947624,Ron Howard,38000000
The Host,125,2013-03-29 00:00:00,PG-13,26627201,Andrew Niccol,40000000
The World's End,109,2013-08-23 00:00:00,R,26004851,Edgar Wright,20000000
21 and Over,93,2013-03-01 00:00:00,R,25682380,Jon LucasScott Moore,13000000
Her,120,2013-12-18 00:00:00,R,25568251,Spike Jonze,23000000
